"","province_state","lat","long","Date","Confirmed_Cases"
"582","Oklahoma",35.5653,-96.9289,2020-03-20,49
"583","Utah",40.15,-111.8624,2020-03-20,78
"584","Kansas",38.5266,-96.7265,2020-03-20,44
"585","Louisiana",31.1695,-91.8678,2020-03-20,538
"586","Missouri",38.4561,-92.2884,2020-03-20,53
"587","Vermont",44.0459,-72.7107,2020-03-20,29
"588","Alaska",61.3707,-152.4044,2020-03-20,12
"589","Arkansas",34.9697,-92.3731,2020-03-20,96
"590","Delaware",39.3185,-75.5071,2020-03-20,38
"591","Idaho",44.2405,-114.4788,2020-03-20,23
"592","Maine",44.6939,-69.3819,2020-03-20,56
"593","Michigan",43.3266,-84.5361,2020-03-20,552
"594","Mississippi",32.7416,-89.6787,2020-03-20,80
"595","Montana",46.9219,-110.4544,2020-03-20,15
"596","New Mexico",34.8405,-106.2485,2020-03-20,43
"597","North Dakota",47.5289,-99.784,2020-03-20,19
"598","South Dakota",44.2998,-99.4388,2020-03-20,14
"599","West Virginia",38.4912,-80.9545,2020-03-20,7
"600","Wyoming",42.756,-107.3025,2020-03-20,19
"601","Alabama",32.3182,-86.9023,2020-03-20,83
"602","Puerto Rico",18.2208,-66.5901,2020-03-20,14
"603","Guam",13.4443,144.7937,2020-03-20,14
"604","United States Virgin Islands",18.3358,-64.8963,2020-03-20,0
"605","US",37.0902,-95.7129,2020-03-20,0
"606","Washington",47.4009,-121.4905,2020-03-21,1793
"607","New York",42.1657,-74.9481,2020-03-21,11710
"608","California",36.1162,-119.6816,2020-03-21,1364
"609","Massachusetts",42.2302,-71.5301,2020-03-21,525
"610","Georgia",33.0406,-83.6431,2020-03-21,507
"611","Colorado",39.0598,-105.3111,2020-03-21,390
"612","Florida",27.7663,-81.6868,2020-03-21,659
"613","New Jersey",40.2989,-74.521,2020-03-21,1327
"614","Oregon",44.572,-122.0709,2020-03-21,114
"615","Texas",31.0545,-97.5635,2020-03-21,581
"616","Illinois",40.3495,-88.9861,2020-03-21,753
"617","Pennsylvania",40.5908,-77.2098,2020-03-21,396
"618","Iowa",42.0115,-93.2105,2020-03-21,68
"619","Maryland",39.0639,-76.8021,2020-03-21,193
"620","North Carolina",35.6301,-79.8064,2020-03-21,253
"621","South Carolina",33.8569,-80.945,2020-03-21,171
"622","Tennessee",35.7478,-86.6923,2020-03-21,371
"623","Virginia",37.7693,-78.17,2020-03-21,156
"624","Arizona",33.7298,-111.4312,2020-03-21,118
"625","Indiana",39.8494,-86.2583,2020-03-21,128
"626","Kentucky",37.6681,-84.6701,2020-03-21,87
"627","District of Columbia",38.8974,-77.0268,2020-03-21,77
"628","Nevada",38.3135,-117.0554,2020-03-21,161
"629","New Hampshire",43.4525,-71.5639,2020-03-21,55
"630","Minnesota",45.6945,-93.9002,2020-03-21,138
"631","Nebraska",41.1254,-98.2681,2020-03-21,38
"632","Ohio",40.3888,-82.7649,2020-03-21,248
"633","Rhode Island",41.6809,-71.5118,2020-03-21,66
"634","Wisconsin",44.2685,-89.6165,2020-03-21,282
"635","Connecticut",41.5978,-72.7554,2020-03-21,194
"636","Hawaii",21.0943,-157.4983,2020-03-21,37
"637","Oklahoma",35.5653,-96.9289,2020-03-21,53
"638","Utah",40.15,-111.8624,2020-03-21,136
"639","Kansas",38.5266,-96.7265,2020-03-21,57
"640","Louisiana",31.1695,-91.8678,2020-03-21,585
"641","Missouri",38.4561,-92.2884,2020-03-21,74
"642","Vermont",44.0459,-72.7107,2020-03-21,29
"643","Alaska",61.3707,-152.4044,2020-03-21,15
"644","Arkansas",34.9697,-92.3731,2020-03-21,122
"645","Delaware",39.3185,-75.5071,2020-03-21,45
"646","Idaho",44.2405,-114.4788,2020-03-21,36
"647","Maine",44.6939,-69.3819,2020-03-21,70
"648","Michigan",43.3266,-84.5361,2020-03-21,788
"649","Mississippi",32.7416,-89.6787,2020-03-21,140
"650","Montana",46.9219,-110.4544,2020-03-21,21
"651","New Mexico",34.8405,-106.2485,2020-03-21,43
"652","North Dakota",47.5289,-99.784,2020-03-21,28
"653","South Dakota",44.2998,-99.4388,2020-03-21,14
"654","West Virginia",38.4912,-80.9545,2020-03-21,8
"655","Wyoming",42.756,-107.3025,2020-03-21,23
"656","Alabama",32.3182,-86.9023,2020-03-21,131
"657","Puerto Rico",18.2208,-66.5901,2020-03-21,21
"658","Guam",13.4443,144.7937,2020-03-21,15
"659","United States Virgin Islands",18.3358,-64.8963,2020-03-21,0
"660","US",37.0902,-95.7129,2020-03-21,0
"661","Washington",47.4009,-121.4905,2020-03-22,1996
"662","New York",42.1657,-74.9481,2020-03-22,15793
"663","California",36.1162,-119.6816,2020-03-22,1642
"664","Massachusetts",42.2302,-71.5301,2020-03-22,646
"665","Georgia",33.0406,-83.6431,2020-03-22,600
"666","Colorado",39.0598,-105.3111,2020-03-22,476
"667","Florida",27.7663,-81.6868,2020-03-22,830
"668","New Jersey",40.2989,-74.521,2020-03-22,1914
"669","Oregon",44.572,-122.0709,2020-03-22,161
"670","Texas",31.0545,-97.5635,2020-03-22,627
"671","Illinois",40.3495,-88.9861,2020-03-22,1049
"672","Pennsylvania",40.5908,-77.2098,2020-03-22,509
"673","Iowa",42.0115,-93.2105,2020-03-22,90
"674","Maryland",39.0639,-76.8021,2020-03-22,244
"675","North Carolina",35.6301,-79.8064,2020-03-22,302
"676","South Carolina",33.8569,-80.945,2020-03-22,196
"677","Tennessee",35.7478,-86.6923,2020-03-22,505
"678","Virginia",37.7693,-78.17,2020-03-22,221
"679","Arizona",33.7298,-111.4312,2020-03-22,152
"680","Indiana",39.8494,-86.2583,2020-03-22,201
"681","Kentucky",37.6681,-84.6701,2020-03-22,99
"682","District of Columbia",38.8974,-77.0268,2020-03-22,102
"683","Nevada",38.3135,-117.0554,2020-03-22,190
"684","New Hampshire",43.4525,-71.5639,2020-03-22,65
"685","Minnesota",45.6945,-93.9002,2020-03-22,169
"686","Nebraska",41.1254,-98.2681,2020-03-22,51
"687","Ohio",40.3888,-82.7649,2020-03-22,355
"688","Rhode Island",41.6809,-71.5118,2020-03-22,83
"689","Wisconsin",44.2685,-89.6165,2020-03-22,381
"690","Connecticut",41.5978,-72.7554,2020-03-22,223
"691","Hawaii",21.0943,-157.4983,2020-03-22,48
"692","Oklahoma",35.5653,-96.9289,2020-03-22,67
"693","Utah",40.15,-111.8624,2020-03-22,181
"694","Kansas",38.5266,-96.7265,2020-03-22,64
"695","Louisiana",31.1695,-91.8678,2020-03-22,837
"696","Missouri",38.4561,-92.2884,2020-03-22,100
"697","Vermont",44.0459,-72.7107,2020-03-22,52
"698","Alaska",61.3707,-152.4044,2020-03-22,21
"699","Arkansas",34.9697,-92.3731,2020-03-22,165
"700","Delaware",39.3185,-75.5071,2020-03-22,47
"701","Idaho",44.2405,-114.4788,2020-03-22,42
"702","Maine",44.6939,-69.3819,2020-03-22,89
"703","Michigan",43.3266,-84.5361,2020-03-22,1037
"704","Mississippi",32.7416,-89.6787,2020-03-22,207
"705","Montana",46.9219,-110.4544,2020-03-22,31
"706","New Mexico",34.8405,-106.2485,2020-03-22,57
"707","North Dakota",47.5289,-99.784,2020-03-22,28
"708","South Dakota",44.2998,-99.4388,2020-03-22,21
"709","West Virginia",38.4912,-80.9545,2020-03-22,12
"710","Wyoming",42.756,-107.3025,2020-03-22,24
"711","Alabama",32.3182,-86.9023,2020-03-22,138
"712","Puerto Rico",18.2208,-66.5901,2020-03-22,23
"713","Guam",13.4443,144.7937,2020-03-22,27
"714","United States Virgin Islands",18.3358,-64.8963,2020-03-22,6
"715","US",37.0902,-95.7129,2020-03-22,1
